176,IND,39.72,-86.294383
177,INL,48.57,-93.403067
178,IYK,35.66,-117.829444
179,IMT,45.82,-88.1145556
180,IWD,46.53,-90.1313967
181,ISP,40.8,-73.100222
182,ITH,42.49,-76.458444
183,JAC,43.61,-110.73775
184,JAN,32.31,-90.075889
185,MKL,35.6,-88.915611
186,JAX,30.49,-81.687861
187,OAJ,34.83,-77.612139
188,JMS,46.93,-98.6782
189,JHW,42.15,-79.258056
190,JST,40.32,-78.833889
191,JPR,10.87,-61.8465
192,JLN,37.15,-94.498269
193,JNU,58.35,-134.576278
194,OGG,20.9,-156.430458
195,AZO,42.23,-85.552058
196,LUP,21.21,-156.974
197,FCA,48.31,-114.256
198,MCI,39.3,-94.713905
199,JHM,20.96,-156.673031
200,EAR,40.73,-99.0068
201,ENA,60.57,-151.245
202,KTM,27.7,85.3591
203,EYW,24.56,-81.759556
204,GRK,31.07,-97.828917
205,AKN,58.68,-156.649278
206,IGM,35.26,-113.938
207,IRK,40.09,-92.5449
208,LMT,42.16,-121.733
209,TYS,35.81,-83.994028
210,ADQ,57.75,-152.493856
211,LSE,43.88,-91.256711
212,LFT,30.21,-91.987611
213,LCH,30.13,-93.223335
214,LNY,20.79,-156.951419
215,LNS,40.12,-76.2961
216,LAN,42.78,-84.587357
217,LAR,41.31,-105.675
218,LRD,27.54,-99.461556
219,LRU,32.29,-106.921972
220,LAS,36.08,-115.15225
221,LBE,40.28,-79.4048
222,PIB,31.47,-89.3371
223,LAW,34.57,-98.4166367
224,LWS,46.37,-117.015389
225,LEW,44.05,-70.2835075
226,LWT,47.05,-109.467
227,LEX,38.04,-84.605889
228,LBL,37.04,-100.95986
229,LIH,21.98,-159.338958
230,LNK,40.85,-96.75925
231,LIT,34.73,-92.224306
232,LGB,33.82,-118.151611
233,GGG,32.38,-94.711486
234,QLA,51.19,-1.0335
235,SDF,38.17,-85.7364989
236,LBB,33.66,-101.822778
237,LYH,37.33,-79.2004
238,MCN,32.69,-83.649211
239,MSN,43.14,-89.337514
240,MHT,42.93,-71.435667
241,MHK,39.14,-96.670833
242,MBL,44.27,-86.246944
243,MWA,37.75,-89.0110936
244,MQT,46.35,-87.395278
245,MVY,41.39,-70.615278
246,MCW,43.22,-93.4067
247,MSS,44.94,-74.845547
248,MFE,26.18,-98.238611
249,MCK,40.21,-100.592222
250,MFR,42.37,-122.8735
251,MLB,28.1,-80.645258
252,MEM,35.04,-89.976667
253,MEI,32.33,-88.751868
254,MIA,25.79,-80.290556
255,MAF,31.94,-102.201914
256,MLS,46.43,-105.886
257,MKE,42.95,-87.896583
258,MSP,44.88,-93.221767
259,MOT,48.26,-101.280333
260,MSO,46.92,-114.090556
261,MOB,30.69,-88.242814
262,MOD,37.63,-120.954422
263,MLI,41.45,-90.507539
264,MLU,32.51,-92.037689
265,MRY,36.59,-121.842944
266,MGM,32.3,-86.3939722
267,MTJ,38.51,-107.894242
268,MGW,39.64,-79.916314
269,MWH,47.21,-119.32019
270,MSL,34.75,-87.6102
271,MKG,43.17,-86.2382
272,MRY,36.59,-121.842944
273,ACK,41.25,-70.060181
274,ABF,1.8,173.04
275,BNA,36.12,-86.678194
276,EWN,35.07,-77.042944
277,HVN,41.26,-72.886806
278,MSY,29.99,-90.258028
279,LGA,40.78,-73.872608
280,JFK,40.64,-73.778925
281,NYC,40.71,-74.005833
282,EWR,40.69,-74.168667
283,SWF,41.5,-74.104839
284,PHF,37.13,-76.492989
285,OME,64.51,-165.445247
286,ORF,36.89,-76.201222
287,OTH,43.42,-124.246
288,LBF,41.13,-100.684
289,OAK,37.72,-122.220722
290,OGS,44.68,-75.4655
291,OKC,35.39,-97.600733
292,OMA,41.3,-95.894069
293,ONT,34.06,-117.601194
294,SNA,33.68,-117.868222
295,MCO,28.43,-81.308994
296,OSH,44.02,-88.551336
297,OWB,37.74,-87.1668
298,OXR,34.2,-119.207222
299,PAH,37.06,-88.7729583
300,PGA,36.93,-111.4483
301,PSP,33.83,-116.506694
302,PFN,30.21,-85.682806
303,PKB,39.35,-81.4392031
304,PSC,46.26,-119.119
305,PLN,45.57,-84.7967
306,PDT,45.7,-118.841389
307,PNS,30.47,-87.186611
308,PIA,40.66,-89.693258
309,PHL,39.87,-75.241139
310,PHX,33.43,-112.011583
311,PIR,44.38,-100.286
